rank,term,doc_freq,frequency,adj_frequency,methods,nonambiguous,informative,type,topic,role,notes,example
927,impugned g.o.,2,8,8,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"Applying the traditional rational standard, the position is worsened to support the impugned G.O. 123."
928,a.c. gupta,4,8,8,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"New Delhi Municipal Committee vs Kalu Ram & on 20 April, COURT 1637, , , 1976 (1) SCWR 479, 1976 (12) DLT 325, 1976 MCC 194, 1976 UJ (SC) 525 Author: A.C. Gupta Bench: A.C. Gupta, Jaswant Singh NEW DELHI MUNICIPAL COMMITTEE"
929,investigate agency,4,8,8,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,The investigating agency has come out with a case that the petitioner had entered into a conspiracy with some other co-accused in getting Shankararaman murdered.
930,chief administrator,1,8,8,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"No. 7335 of 2008 CHIEF ADMINISTRATOR, H.U.D.A. & ...."
931,equal protection,3,8,8,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,"In a case where denial of equal protection is complained of and the denial flows from such action and has a direct impact on the fundamental rights of the complainant, a constructive approach to remove the discrimination by putting the comp"
932,write down value,1,8,8,spacy,1,informative,MONETARY-VALUATION,,EVIDENCE,,[43 H] 2(i) Even where the Wealth-tax Officer has resorted to section 7(2) for determining the value of assets of a business as a whole the written down values or book values of specific assets as appearing in the balance-sheet are not sacr
933,divisional officer,5,8,8,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"[see Manjeet Singh vs. National Insurance Company Limited and Another, [ ]; B.V. Nagaraju vs. Oriental Insurance Co. Ltd., Divisional Officer, Hassan, [ ], National Insurance Co. Ltd."
934,large public interest,4,8,8,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"The view expressed earlier, inadvertently, on a wrong assumption may result in great public loss and would be against larger public interest."
935,list witness,1,8,8,spacy,1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,"On 17.10.2008, another petition was filed by the private counsel for the informant, stating that the prosecution evidence was closed without taking proper steps for the evidence of the Investigating Officer, the Doctor, PW-3 Kadama Rai and "
936,public office,5,8,8,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,""" ""The mode of collecting fees in a public office is under the Public Office Fees Act, 1879 (repealing and replacing, the Public Office Fees Act, 1866), by stamps or money, as the Treasury may direct."
937,agricultural income tax,2,8,8,"spacy,textacy",1,informative,MONETARY-VALUATION,,EVIDENCE,,"The assessee was assessed to agricultural income-tax under Act, for different assessment years."
938,chief judicial magistrate,4,8,8,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"Respondent no.2, Manisha Poddar filed a complaint on 08.07.2007 before the Chief Judicial Magistrate, Ranchi under sections 498-A, 406, 341, 323 and 120-B of the Indian Penal Code read with sections 3 and 4 of the Dowry Prohibition Act agai"
939,paigah family,1,8,8,spacy,1,informative,PARTY-ACTOR,,ACTOR,,That sanad is the foundation of the title of the Paigah family.
940,judicial officer,6,8,8,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,This aspect of the matter has been highlighted by this Court in the case of the judicial officers in All India Judges' Association Vs Union of India and Others [ ] and [ ] as well as the report of the Shetty Commission.
941,cultivate right in the sir,1,8,8,yake,1,informative,LEGAL-CONCEPT,,ISSUE,,
942,bombay industrial relations act,1,8,8,spacy,1,informative,STATUTE-PROVISION,,RULE,,"Vs. RAM TAHEL RAMNAND & DATE OF JUDGMENT14/04/1972 DUA, I.D. DUA, I.D. VAIDYIALINGAM, C.A. CITATION: 1973 (1) 185 1972 (1) 898 F 1973 SC2297 (9) RF 1976 SC1207 (72) RF 1986 SC1272 (97,99,100,102) ACT: Bombay Industrial Relations Act 11 of 1"
943,order xxi rule,1,8,8,spacy,1,informative,STATUTE-PROVISION,,RULE,,"Thereafter, Goldstone and others filed an execution petition in E.P. Nos.3 of 1996 under Order XXI Rule 35 CPC before the District Court, Ranga Reddy District seeking delivery of Item No. 38 of Plaint Schedule IV (survey No. 172 of Hydernag"
944,schedule tribe candidate,1,8,8,spacy,1,informative,STATUTE-PROVISION,,RULE,,"A district is a unit for teachers, and all the posts have been ordered to be filled by scheduled tribe candidates in the scheduled areas in several districts."
945,seizure list witness,1,8,8,spacy,1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,"With respect to the judgment of the acquittal dated 24.10.2008, a grievance petition was submitted by the seizure list witnesses, which was acknowledged by the then Inspecting Judge, Justice Navin Sinha, as he was then."
946,p.c. act,1,8,8,spacy,0,non-informative,CITATION-REF,,,,The offence under Section 7 of P.C. Act has been confirmed by the unchallenged recovery of the tainted amount.
947,substantive law,4,8,8,"spacy,textacy",1,informative,LEGAL-CONCEPT,,ISSUE,,"[1062C-E] (iv) While extending the larger benefits of the 1947 Act to tenants the Legislature has used a very wide expression, namely, ""all suits and proceedings between a landlord and tenant"" so as to include within that category suits and"
948,order xx,2,8,8,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,There are two sub-rules to Rule 18 of Order XX.
949,public institution,1,8,8,"spacy,textacy",1,informative,PARTY-ACTOR,,ACTOR,,"Section 30(3)(a) of the Mysore House Rent and Accommodation Control Act, 1951, authorised the Controller to select any Government, local authority, public institution, officer of S. P. Jinadathappa vs R. P. Sharma And Others on 17 April, 19"
950,complainant party,2,8,8,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"It is alleged that accused No. 1 Harjit Singh, accused No. 6 Gursharan Singh continued to fire with their firearms towards of the complainant party."
951,natural gas corporation ltd,1,8,8,"rake,spacy",0,non-informative,CITATION-REF,,,,"G.M., Oil & Natural Gas Corporation Ltd vs Rameshbhai Jivanbhai Patel & on 31 July, 2008 Bench: R.V. Raveendran, Lokeshwar Singh Panta Reportable IN THE SUPREME COURT OF INDIA CIVIL APPELLATE JURISDICTION CIVIL APPEAL NO.5192 OF 2002 The Ge"
952,state power,2,8,8,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"on 22 April, 2020 discrimination, disadvantage, and to share the State power."
953,revenue record,3,8,8,spacy,1,informative,INSTRUMENT-EVIDENCE,REVENUE-TENURE,EVIDENCE,,The trial court relied upon the revenue records of 1947-48 showing cultivation of the lands by Shyamala Raju (see p. 91 of the SLP Paper Book).
954,delhi municipal committee,1,8,8,yake,1,informative,FORUM-AUTHORITY,,ACTOR,,
955,accounting firm,1,8,8,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"The Council may request the Ministry of Corporate Affairs, Reserve Bank of India and other relevant Ministries/Departments to take appropriate action so that the recommendations can be implemented to engage the services of accounting firms "
956,insured person,1,8,8,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"However, in renewal of same policy does not place any such obligation upon the insurer to intimate insured person at the point of renewal of the policy."
957,individual case,5,8,8,"spacy,textacy",1,informative,PARTY-ACTOR,,ACTOR,,"v. Johnston(1): ""The law as to the reversal by a court of appeal of an order made by a Judge below in the exercise of his discretion is wellestablished, and any difficulty that arises is due only to the application of well-settled principle"
958,documentary evidence,7,8,8,"spacy,textacy",1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,It appears from the records that the parties have yet to file their documentary evidence in the suit.
959,annual report,3,8,8,spacy,1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,The Governor has to send an Annual Report or at any time whenever so required by the President.
960,decision of the government,4,8,8,yake,1,informative,FORUM-AUTHORITY,,ACTOR,,
961,new delhi municipal committee,1,8,8,"rake,spacy",1,informative,FORUM-AUTHORITY,,ACTOR,,"In September 1961, the New Delhi Municipal Committee vs Kalu Ram & on 20 April, 1976 Estate Officer ordered the respondent under section 7(1) of the Act, to pay the sum, overruling his objection that the claim was barred by limitation."
962,regard property,1,8,8,spacy,1,informative,PROPERTY-RES,,EVIDENCE,,"It is urged that since the undivided family in fact continues even after a partial partition as regards property, there is no need to enact a rule declaring that it shall be deemed to continue as an undivided family."
963,order vi,2,8,8,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"Despite noticing the proviso appended to Order VI, Rule 17 of the Code, it was held; ""..."
964,resort owner,1,8,8,spacy,1,informative,PARTY-ACTOR,TITLE-OWNERSHIP,ACTOR,,"No. 125, dated 31.08.2010 which had notified an ‘Elephant Corridor’ in the Sigur Plateau of Nilgiris District and has further directed resort owners and other private land owners to vacate and hand over the vacant possession of the lands fa"
965,money decree,2,8,8,"spacy,textacy",1,informative,PROCEDURE-RELIEF,PROCEDURE-REMEDY,PROCEDURAL,,"In view of these findings, the Subordinate Judge dismissed the plaintiff's claim for specific performance but as the second party defendants admitted that they had taken an advance of Rs. 30,000 from the plaintiff, a money decree was given "
966,relevant consideration,4,8,8,spacy,1,informative,MONETARY-VALUATION,,EVIDENCE,,"The only restriction is that, being a State instrumentality, it should not be a whimsical or capricious price but should be one based on relevant considerations and on some recognised basis."
967,partnership deed,1,8,8,spacy,1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,"Certain CA firms submitted the documents by masking certain portions contained in their agreements, partnership deeds and assessment orders/income tax returns claiming confidentiality and commercially sensitive nature of the documents."
968,court masters,1,8,8,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"While fixing the scales of pay of the Assistant Registrars, it was noticed that the post of Assistant Registrar is a promotional post for the Superintendents, Court Masters and Private Secretaries who had been placed in the Scale of pay of "
969,appellant herein original accuse,1,8,8,rake,1,informative,PARTY-ACTOR,,ACTOR,,
970,certain property,4,8,8,"spacy,textacy",1,informative,PROPERTY-RES,,EVIDENCE,,It has also a certain property in the soil of the street which would enable it as owner to bring a possessory action against trespassers.
971,election law,1,8,8,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,"The preclude, we are disposed to think, has become a necessity, as, in the case at hand, we are called upon to decide, what constitutes ""undue influence"" in the context of Section 260 of Tamil Krishnamoorthy vs Sivakumar & on 21 January, 20"
972,plant site,1,8,8,spacy,1,informative,PROPERTY-RES,,EVIDENCE,,"Learned counsel also pointed out that even, at the plant site, there is no proper facility for storage of spent fuel and high level radioactive waste."
973,order vi rule,2,8,8,"rake,spacy",1,informative,STATUTE-PROVISION,,RULE,,"On or about 8.11.2006, an application had been filed under Order VI Rule 17 of the Code of Civil Procedure (for short ""the Code""), which was marked as IA 9 of 2006, seeking amendment to the written statement."
974,appropriate authority,6,8,8,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,Whether the compromise is unlawful so as to render the consent decree void must be left to the determination of the appropriate authority before whom the question may arise and it cannot be allowed to be determined by a party himself accord
975,learn trial judge,4,8,8,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"From the order passed by the learned Trial Judge, it is evident that the respondents had not been able to fulfill the said pre-condition."
976,regulatory power,2,8,8,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,There is a further rider on the regulatory power of the Governor Chebrolu Leela Prasad Rao vs State Of A.P. .
977,early suit,2,8,8,"spacy,textacy",1,informative,PROCEDURE-RELIEF,PROCEDURE-REMEDY,PROCEDURAL,,"According to the appellants herein, the prayer for injunction was not pressed in view of the judgment in the earlier Suit No."
978,statutory right,2,8,8,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,(e) of s. 13(1) may be of' this statutory right in the property.
979,public charitable trust,1,8,8,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"(1) 469 D 1976 SC1569 (58) ACT: Trust Property-Wakf and Public Charitable Trust--Distinction-Rule of interpretation of documents-The Wakf Act, 1954 (29 of 1954), ss. 3(1), 9, 28-Hyderabad Endowment Regulation, 1348-F (1939)."
980,main provision,3,8,8,"spacy,textacy",1,informative,STATUTE-PROVISION,,RULE,,"Through Lrs And ... on 28 February, 1985 view to qualify or create an exception to what is state in the main provision ."
981,family member,5,8,8,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"Hiralal had inherited the property from his fore-fathers and defendant Bhagwandas, his father Ganpat and other brothers as also other family members had right therein."
982,municipal corporation,6,8,8,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"(Vide: Municipal Corporation of Delhi v. Gurnam Kaur, ; Govt. of Karnataka & v. Gowramma & , ; and State of Haryana & v. Dharam Singh & )."
983,safety code,1,8,8,spacy,1,informative,STATUTE-PROVISION,,RULE,,"Further, it was also pointed out that the transportation of spent fuel is governed by the Regulations specified by AERB in “Safety Code for the transport of radioactive materials – AERB/SC/TR-1’ and international requirements given in IAEA "
984,state electricity boards,3,8,8,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,Even in relation to a public utility undertaking like the State Electricity Boards where the duty not to make undue profits by abusing its monopoly position is clear (vide: Jagadamba Oil And Natural Gas Commission And vs Association Of Natu
985,assurance service,1,8,8,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,Certain MAFs are corporate or juridical persons with significant commercial presence in India and are rendering assurance services.
986,reasonable profit,2,8,8,spacy,1,informative,MONETARY-VALUATION,,EVIDENCE,,it was equally necessary to ensure that such units and instrumentalities were enabled to make reasonable profits; (iii) in the context of the integrated activity of production of crude oil and gas.
987,law tribunal,2,8,8,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"Even otherwise, sub-clauses (1) and (2) form part of the same contractual scheme in that sub-clause (1) refers to the enactment of laws, whereas sub-clause (2) relates to interpretation of those very laws by a competent Court of law/Tribuna"
988,municipal barrier,1,8,8,"spacy,textacy",1,informative,FORUM-AUTHORITY,,ACTOR,,"Before reaching the station the lorries had-to pass-out of the municipal barrier near the station, which was meant to serve as an import barrier for goods coming into the municipality from the railway station and as an export barrier for go"
989,ordinary jurisdiction,1,8,8,spacy,1,informative,LEGAL-CONCEPT,PROCEDURE-REMEDY,ISSUE,,"Appeals from orders.-Re-hearings of, and appeals from, any order or decision made or given in the matter of the winding up of a company by the Court may be had in the same manner and subject to the same conditions in and subject to which ap"
990,semi process needles,1,8,8,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"30,000/- representing respectively the market value of these raw-materials and semi finished needles to the stock accounts of 'Wire and Strip' and 'Semi-processed Needles, which would clearly show that these goods were treated by the assess"
991,delhi municipal,1,8,8,yake,1,informative,FORUM-AUTHORITY,,ACTOR,,
992,report of the commission,1,8,8,yake,1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,
993,toll tax,1,8,8,"spacy,textacy",1,informative,MONETARY-VALUATION,,EVIDENCE,,"Under r. 8(a) of the Rules for Tolls as In 1949, which were applicable in the present case, if a person in charge of a lorry laden with taxable goods entering the municipal limits, declared that they were meant for immediate export from the"
994,forest conservation act,3,8,8,spacy,1,informative,STATUTE-PROVISION,,RULE,,"Forest clearance was granted on 20.8.2004 under the provisions of Section 2 of the Forest (Conservation) Act, 1980 for the diversion of 5829 hectares of forest lands."
995,india criminal appellate jurisdiction criminal,8,8,8,yake,1,informative,PROCEDURE-RELIEF,CRIMINAL,PROCEDURAL,,
996,draft notification,1,8,8,spacy,1,informative,STATUTE-PROVISION,LAND-ACQUISITION,RULE,,"Union of India was to publish a draft notification under Section 3 of the Environment (Protection) Act, 1986 to constitute the CEC within 15 days and place the notification before this Court."
997,aggrieved person,5,8,8,"spacy,textacy",1,informative,PARTY-ACTOR,,ACTOR,,Here comes the hierarchy of officers who are empowered to look into the grievances of any aggrieved person in regard to repartition and that is provided in s. 21 of the Act.
998,pende suit,4,8,8,spacy,1,informative,PROCEDURE-RELIEF,PROCEDURE-REMEDY,PROCEDURAL,,But the proviso which provides for special savings clearly indicates that pending suits and original proceedings in which decrees and orders have not been passed alone should be governed by the provisions of the Act and not execution procee
999,wind up proceeding,2,8,8,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"And on 24 January, 1963 joint Liquidators were appointed in the winding up proceedings."
1000,india criminal appellate jurisdiction,8,8,8,yake,1,informative,PROCEDURE-RELIEF,CRIMINAL,PROCEDURAL,,
1001,true construction,5,8,8,spacy,1,informative,PROPERTY-RES,,EVIDENCE,,It is no doubt true that on a true construction of Clauses (5) and (6) of the agreement dated 3-11-1953 Chunilal had no right to acquire these shares from the contributories or the Liquidators.
1002,social justice,3,8,8,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,"Vs. RAM TAHEL RAMNAND & DATE OF JUDGMENT14/04/1972 DUA, I.D. DUA, I.D. VAIDYIALINGAM, C.A. CITATION: 1973 (1) 185 1972 (1) 898 F 1973 SC2297 (9) RF 1976 SC1207 (72) RF 1986 SC1272 (97,99,100,102) ACT: Bombay Industrial Relations Act 11 of 1"
1003,public law remedy,2,8,8,"spacy,textacy",1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"For a public law remedy enforceable under Article 226 of the Constitution, the actions of the authority need to fall in the realm of public law be it a legislative act or the State, an executive act of the State or an instrumentality or a "
1004,xxi rule,1,8,8,spacy,1,informative,STATUTE-PROVISION,,RULE,,"The argument of Shri V.V.S. Rao, learned senior counsel on behalf of these appellants who claim to be the legal heirs of defendant No.1, is that in a dispute arising out of claim petitions under Order XXI Rules 97 to 101 CPC relating to lan"
1005,evacuee property act,1,8,8,spacy,1,informative,STATUTE-PROVISION,,RULE,,"Administration of Evacuee Property Act 1950, Section 8 Gram Panchayat Of Village, Jamalpur vs Malwinder Singh & on 9 July, 1985 (2) & Punjab Village Common Lands (Regulation) Act 1953."
1006,force majeure clause,1,8,8,"spacy,textacy",1,informative,STATUTE-PROVISION,,RULE,,"Similarly, in ‘Treitel on Frustration and Force Majeure’, 3rd edition, the learned author has opined, at paragraph 12-034, that the cases provide many illustrations of the principle that a force majeure clause will not normally be construed"
1007,new right,4,8,8,"rake,spacy,textacy",1,informative,LEGAL-CONCEPT,,ISSUE,,"It may be that possession has not yet been delivered in terms of the Act and, therefore, in a manner of speaking, the petitioner's original right to land has not yet come to an end nor has his new right come into existence."
1008,final act,2,8,8,spacy,1,informative,STATUTE-PROVISION,,RULE,,"For each commodity, there is ordinarily what is generally considered to be the final act of consumption."
1009,shamlatdeh land,1,8,8,spacy,1,informative,PROPERTY-RES,,EVIDENCE,,"Under the Central Act of 1950, the Custodian is entitled to preserve and manage the interest of the evacuees in all evacuee properties, which would include the Shamlatdeh lands."
1010,post mortem report,2,8,8,spacy,1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,There is an entry wound and exist-wound and a deep injury on forearm from which a cartridge embedded in the muscles was recovered as per the post-mortem report of the deceased.
1011,g.i. act,1,8,8,spacy,0,non-informative,CITATION-REF,,,,"[Section 220(2), G.I. Act, 35]."
1012,municipal council,4,8,8,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"at p. 4, and S. Sundaram Ayyar v. Municipal Council of Madura and the Secretary of State for India in Council, (1902) I.L.R. 25 , referred to."
1013,appellate power,2,7,7,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"When the appellate power of the State Government is exercised by an officer to whom powers are delegated under s. 41 which provides :- S. 41 (1) ""The State Government may for the administration of this Act, appoint such persons as it thinks"
1014,national company law appellate tribunal,1,7,7,"rake,spacy",1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"This appeal under Section 62 of the Insolvency and Bankruptcy Code, 20161 is directed against the judgment and order dated 14.05.2019 passed by the National Company Law Appellate Tribunal, New Delhi 2 in Company Appeal (AT) Insolvency No. 5"
1015,construction activity,3,7,7,spacy,1,informative,PROPERTY-RES,,EVIDENCE,,"The High Court also held that any absence of elephants from the areas surrounding the appellants’ resorts was, in fact, due to the construction activities of the appellants whereby access of the elephants has been restricted through erectio"
1016,article 371d.,1,7,7,spacy,1,informative,STATUTE-PROVISION,CONSTITUTIONAL,RULE,,There is no repugnancy with the Presidential Order issued under Article 371D.
1017,site emergency plan,1,7,7,spacy,1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,The document also takes cognizance of an earlier AERB publication on the subject: “Safety Manual on Off-Site Emergency Plan for Nuclear Installations” issued in the year 1988.
1018,application no.994,1,7,7,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"I72 of Hydernagar village on the ground that they have been delivered possession of the property by the District Judge, Ranga Reddy District on 17.04.1996 pursuant to the direction of the High Court dated 28.12.1995 in Application No.994 of"
1019,frame rule,5,7,7,spacy,1,informative,STATUTE-PROVISION,,RULE,,In 1925 the Municipality had framed rules and by-laws before it became a Borough Municipality.
1020,union carbide,1,7,7,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"The incidents occurred in Three Miles Island Power Plant USA, Chernobyl, Ukraine, USSR, Fukoshima, Japan, Union Carbide, Bhopal might be haunting the memory of the people living in and around Kudankulam, leading to large-scale agitation and"
1021,state pollution control board,1,7,7,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"Referring to explanation 8 to the EIA Notification of 1994, it was submitted that the project did not obtain all clearances including NOC from the State Pollution Control Board, which was required under the Water Act of 1974 and Air Act of "
1022,sub judge,1,7,7,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"The Sub-Judge held that the order dated September 25, 1970 passed by the Collector, Hissar, is legal and valid and the same having become final the premises in dispute is established to be a public premises and not in the ownership of respo"
1023,transparent process,1,7,7,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"It is obvious that under Section 62 read with Section 61 and 64, the Commission has to “determine” tariff under the Act having regard to various factors, whereas under Section 63 of the Act, the Commission does not “determine” but only “ado"
1024,original suit,5,7,7,spacy,1,informative,PROCEDURE-RELIEF,PROCEDURE-REMEDY,PROCEDURAL,,"considered to be a continuation of the original suit or proceeding and in a case, where the High Court deals with an appeal or a revision, finality for the purpose of Art."
1025,water act,1,7,7,spacy,1,informative,STATUTE-PROVISION,,RULE,,"Referring to explanation 8 to the EIA Notification of 1994, it was submitted that the project did not obtain all clearances including NOC from the State Pollution Control Board, which was required under the Water Act of 1974 and Air Act of "
1026,rule 2a,1,7,7,spacy,1,informative,STATUTE-PROVISION,,RULE,,"In the Appeal to this Court it was contended that: (1) there was no provision for inclusion of a 'Karta's interest in a partnership firm in the H.U.F.'s net-wealth for wealth tax purposes under the Act, and (2) even assuming that appellant "
1027,compulsory acquisition,4,7,7,spacy,1,informative,LEGAL-CONCEPT,LAND-ACQUISITION,ISSUE,,"Article 31, which was deleted by the Constitution (Forty-fourth Amendment) Act, 1978 provided for compulsory acquisition of property."
1028,suit schedule property,1,7,7,"spacy,textacy",1,informative,STATUTE-PROVISION,PROCEDURE-REMEDY,RULE,,"To this limited extent, examining the title of a party to the suit schedule property is permissible even in a suit for partition."
1029,oustee family,1,7,7,spacy,1,informative,PARTY-ACTOR,,ACTOR,,The matter was limited to resettlement and rehabilitation of 6147 oustee families spread over in 158 villages in the State of Madhya Pradesh as a consequence of Sardar Sarovar Project.
1030,private person,5,7,7,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"The term precludes the idea of service which is private in its nature and is not to be obtained by the public, although a public utility may perform acts in its private, as distinguished from the public, capacity, in which case it is subjec"
1031,hon’ble mr. justice,3,7,7,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,"Under the AgendaAny other matterit is resolved to place on record the appreciation of valuable contribution made by Hon’ble Mr. justice V.N. Sinha as a Member of Committee during his tenure, which has just expired (V.N. Sinha, J. Abstaining"
1032,court room,2,7,7,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,She was intimidated inside the Court room prior to her examination.
1033,discretionary power,4,7,7,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,"Lord ;Parker, after pointing out that s. 4 of the Arbitration Act' gave a discretionary power to the Court to be exercised after it was' satisfied that there was no sufficient reason why the matter should not be referred in accordance with "
1034,wage board recommendation,1,7,7,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"The Appellant had in its statement before the Tribunal in para 9 categorically challenged the recommendations of the Wage Board in these words : ""It may be noticed even though the Wage Board recommendations are not binding, in spite of huge"
1035,atomic power station,1,7,7,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,"The Central Government, as per the Act, is legally obliged to develop a sound and adequate national policy in regard to atomic power and to coordinate such policy with the Central Electricity Authority (CEA) and the State Electricity Boards"
1036,proper law,1,7,7,"spacy,textacy",1,informative,LEGAL-CONCEPT,,ISSUE,,"Party autonomy being the brooding and guiding spirit in arbitration, the parties are free to agree on application of three different laws governing their entire contract – (1) proper law of contract, (2) proper law of arbitration agreement "
1037,rent act,3,7,7,spacy,1,informative,STATUTE-PROVISION,TENANCY-LEASE,RULE,,"On account of the Rent Act, they will not receive more rent from the new tenants whom they may induct after the premises ire released from requisition."
1038,separate suit,3,7,7,"spacy,textacy",1,informative,PROCEDURE-RELIEF,PROCEDURE-REMEDY,PROCEDURAL,,It is urged on behalf of the appellants that Iyengar had also instituted a suit for permanent injunction being Suit No. 79/49 in which it has been held that Iyengar was not in possession of the suit lands but he was certainly entitled to fi
1039,biological diversity act,1,7,7,spacy,1,informative,STATUTE-PROVISION,,RULE,,"are constituted under the Biological Diversity Act, 2002.45 The National Biodiversity Authority has the power to grant permission for obtaining biological resources and to In Re : T.N. Godavarman Thirumulpad vs Union Of India And on 31 Janu"
1040,gujarat state,3,7,7,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"The short question raised in this appeal is whether a pending appeal would be governed by the Bombay Rents, Hotel and Lodging House Rates Control Act, 1947 (for short the Act) upon the Part II of the Act being made applicable to the area in"
1041,general principle,7,7,7,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,"The only general principle that can be stated is that in the end there must be some margin in prices over total costs, if capital is to be unimpaired and production maximised by the utilisation of internal surpluses ..... while the cost plu"
1042,mahomedan law,1,7,7,"rake,spacy",1,informative,LEGAL-CONCEPT,,ISSUE,,In the appeal arising out of the suit for pre-emption the sole contention raised by Mr. Chagla is that under the Mahomedan Law no right of pre-emption accrues unless a demand for preemption is made and such a demand can only be made after t
1043,level playing field,2,7,7,spacy,1,informative,PROPERTY-RES,,EVIDENCE,,"Since it is felt that the applicants belonging to the SC/ST/OBC categories among others are at a disadvantage when they compete through these methods, a level playing field is sought to be created by way of conferring reservation benefits."
1044,public duty,4,7,7,spacy,1,informative,PARTY-ACTOR,,ACTOR,,Such a legal duty emanates from either in discharge of a public duty or by operation of law.
1045,power vest,5,7,7,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,"In the first place, in the case of the subordinate judiciary transfer being one of the usual incidents of the service and being a usual feature which has to take place from time to time the power vests in the High Court."
1046,state subject,3,7,7,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"v. M/s. S.N. Govinda Prabhu & Bros. and etc, [1986] 4 S.C.C. 1988: ""Now, a State Electricity Board created under the provisions of the Electricity Supply Act is an instrumentality of the State subject to the same constitutional and public l"
1047,extraneous consideration,5,7,7,spacy,1,informative,MONETARY-VALUATION,,EVIDENCE,,"Before the High Court, the appellant attacked the sale also on the ground that it was actuated by extraneous considerations."
1048,appellant and the respondent,5,7,7,yake,1,informative,PARTY-ACTOR,,ACTOR,,
1049,respondent state,5,7,7,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"As we understood the learned Advocate-General of Punjab, who appeared for the respondent State of Punjab, he conceded that position."
1050,aforesaid provision,6,7,7,"spacy,textacy",1,informative,STATUTE-PROVISION,,RULE,,""" On reading the aforesaid provisions together it will appear clear that wealth tax has been levied on the netwealth of an individual or a H.U.F. meaning thereby the aggregate value of all the assets belonging to such assessee minus all the"
1051,valuation act,1,7,7,spacy,1,informative,STATUTE-PROVISION,,RULE,,"It was contended that Rule 1 of the Secretary, Government Of Madras, ... vs Zenith Lamp & Electrical Ltd on 10 November, 1972 High Court Fees Rules, 1956, was void and ultra vires because the Madras Court Fees and Suits Valuation Act (XIV o"
1052,measure acre,1,7,7,spacy,1,informative,PROPERTY-RES,,EVIDENCE,,"The High Court allowed Application No. 19 of 1973, vide order dated 05.07.1974 directing the Government to give symbolic possession of lands measuring acres 220 guntas 18 in Survey No. 145 and measuring acres 175 guntas 6 in Survey No.163 t"
